ID	Label	Text
4633	Evidential	"Through its vastness, resilience and biogeochemical complexity, the ocean offers humanity some of the largest potential natural pathways for removing carbon dioxide from the atmosphere while avoiding new sources of anthropogenic emissions. In proposing a network of new marine protected areas in service of global ocean conservation, Sala et al. describe a potentially large climate benefit of such a strategy: a reduction or elimination in carbon emissions that can result from the resuspension and subsequent remineralization of organic matter in ocean sediments following benthic trawling and dredging. Sala et al. estimated that as much as 1.47 Pg CO2 yr-1 — equivalent to 4% of all global CO2 emissions in 2020 — could be produced globally in the first year disturbance associated with benthic trawling, with CO2 “emissions” from trawling activity declining after roughly a decade to 0.58 Pg CO2 yr-1.  However, using the published output from a series of experiments in an inverse ocean circulation model to account explicitly for the timescale of atmospheric ventilation, we show that the Sala et al. estimate of global CO2 efflux in the first year after trawling must be discounted by at least 33%, yielding an adjusted flux of 0.99 Pg CO2 yr-1, if one aims to ultimately estimate emissions to the atmosphere. Similarly, the cumulative CO2 emissions attributable under the Sala et al. model to a continuous pattern of global benthic trawling activity over a 30-year timescale must be discounted by at least 12% (compare 19.6 and 17.2 Pg CO2)."
4842	Definitive	"Proglacial lakes are becoming ubiquitous at the termini of many glaciers worldwide, leading to increased glacier mass loss and terminus retreat, yet an understanding of the key processes forcing their behaviour is lacking. This study utilised high-resolution repeat uncrewed aerial vehicle (UAV)-Structure from Motion (SfM) imagery to provide insights into the changing dynamics of Fjallsj√∂kull, a large lake-terminating glacier in southeast Iceland, across the 2019 and 2021 summer melt seasons. We show that the overall dynamics of the glacier are controlled by the ~120 m deep bedrock channel under the study region, which has caused the glacier to flow faster as it enters deeper water, leading to increased ice acceleration, thinning and retreat, with the glacier decoupled from local climate as a result. The close correspondence between ice velocity and surface thinning suggests the implementation of the dynamic thinning feedback mechanism, with such a response likely to continue in future until the glacier recedes out of the bedrock channel into shallower water. As a result, these findings clearly indicate the complex nature of the calving process, highlighting the need for continued monitoring of lake-terminating glaciers in order to better understand and predict how they may respond in future."
3174	Evidential	"Cropland mapping in smallholder landscapes is challenged by complex and fragmented landscapes, labor-intensive and unmechanized land management causing high within-field variability, rapid dynamics in shifting cultivation systems, and substantial proportions of short-term fallows. To overcome these challenges, we here present a large-area mapping framework to identify active cropland and short-term fallows in smallholder landscapes for the 2020/2021 growing season at 4.77 m spatial resolution. Our study focuses on Northern Mozambique, an area comprising 381,698 km2. The approach is based on Google Earth Engine and time series of PlanetScope mosaics made openly available through Norwa_s International Climate and Forest Initiative (NICFI) data program. We conducted multi-temporal coregistration of the PlanetScope data using seasonal Sentinel-2 base images and derived consistent and gap-free seasonal time series metrics to classify active cropland and short-term fallows. An iterative active learning framework based on Random Forest class probabilities was used for training rare classes and uncertain regions. The map was accurate (area-adjusted overall accuracy 88.6% ± 1.5%), with the main error type being the commission of active cropland. Error-adjusted area estimates of active cropland extent (61,799.5 km2 ± 4,252.5 km2) revealed that existing global and regional land cover products tend to under-, or over-estimate active cropland extent, respectively. Short-term fallows occupied 28.9% of the cropland in our reference sample (13% of the mapped cropland), with consolidated agricultural regions showing the highest shares of short-term fallows. Our approach relies on openly available PlanetScope data and cloud-based processing in Google Earth Engine, which minimizes financial constraints and maximizes replicability of the methods. All code and maps were made available for further use."
1499	Hypothetical	"Instrumental climate records of the last centuries suffer from multiple breaks due to relocations and changes in measurement techniques. These breaks are detected by relative homogenization algorithms using the difference time series between a candidate and a reference. Modern multiple changepoint methods use a decomposition approach where the segmentation explaining most variance defines the breakpoints, while a stop criterion restricts the number of breaks. In this 10 study a pairwise multiple breakpoint algorithm consisting of these two components is tested with simulated data for a range of signal-to-noise ratios (SNRs) found in monthly temperature station datasets. The results for low SNRs obtained by this algorithm do not differ much from random segmentations; simply increasing the stop criterion to reduce the number of breaks is shown to be not helpful. This can be understood by considering that in case of multiple breakpoints also a random segmentation explains about half of the break variance. We derive analytical equations for the explained noise and break 15 variance for random and optimal segmentations. From these we conclude that reliable break detection at low, but realistic SNRs needs a new approach. The problem is relevant because the uncertainty of station trends is shown to be climatologically significant also for these small SNRs. An important side-result is a new method to determine the break variance and the number of breaks in a difference time series by studying the explained variance for random break positions."
2148	Definitive	"Climate change is affecting many aspects of natural ecosystems and society. Anticipating the changes in vegetation resilience – the plants’ capacity to cope with disturbances and shocks such as those related to climate variability and extremes – is critical to understand and project ecosystems’ responses to global change and the impacts on the related ecosystem services, to support mitigation actions, and to define proper adaptation plans.  Here, we quantify vegetation gross primary production (GPP) resilience by computing the annual production resilience indicator from the state-of-the-art Earth System Model (ESM) simulations included in the newest Sixth Phase of the Coupled Model Intercomparison Project (CMIP6). Taking the present period (1985-2014) as reference, we estimate the GPP resilience changes for different periods in the near and far future (2021-2050 and 2051-2100) under three scenarios of socioeconomical global changes, corresponding to different levels of greenhouse gases’ emissions and land-use.  In the ‘Sustainability (Taking the Green Road)’ and ‘Middle of the Road’ scenarios considered here (ssp126 and ssp245), the areas where vegetation shows increasing GPP resilience (mainly boreal, African and Indian monsoonal regions) are wider than the areas with decreasing resilience. The situation drastically reverses in the ’Fossil-fuel Development (Taking the Highway)’ scenario (ssp585), mostly because the increase of GPP interannual variability outbalances the mean increase due to the CO2 fertilization effect in this high greenhouse gases’ emission scenario. Among the larger countries, Brazil is exposed to the highest risk of experiencing years with anomalously low GPP, especially in the ’Taking the Highway’ scenario."
1431	Exploratory	"Paleoslope of ancient river systems is a fundamental parameter needed to reconstruct paleohydrology and paleoclimate from the fluvial sedimentary record. The shape of braid bars in 22 modern rivers yields a relationship between average bar elongation (length/width) and river slope. Steep rivers display more elongated bars than gently dipping reaches. This relationship has potential application to ancient braided systems preserved in the subsurface and imaged by 3D seismic data. The average elongation of bars identified on a stratal-slice through the DaGang river deposits in North-East China yields a slope prediction which, combined with empirical data on grain size and slope of alluvial rivers, predicts a median grain size of between 0.1 and 1 mm for the considered river sediment, in agreement with grain size data in an adjacent isochronous belt. This study provides an additional approach for paleohydraulics in sedimentary basins and grain size prediction in exploration."
3034	Definitive	"Hydroclimatic extremes, such as heavy daily rainfall and dry spells, are expected to intensify under anthropogenic warming. Often, these changes are diagnostically related to thermodynamic increases in humidity with warming. Here, we develop a framework that uses an on-line calculation of the thermodynamically induced changes of the full precipitation distribution with warming in an idealized moist atmospheric general circulation model. Two water vapor variables, the standard active one and an additional passive one (i.e., no latent heat release when condensation occurs), are advected by the resolved circulation. The passive water vapor is thermodynamically perturbed by modifying the saturation specific humidity used in the calculation of its condensation tendency and surface evaporation. The difference between the precipitation of the perturbed passive water vapor relative to the control one corresponds to the thermodynamic component of precipitation change, which can be evaluated for the entire distribution. Here, we evaluate wet and dry extremes. Our simulations have tropical increases and higher latitude decrease of dry spells' length (defined as the maximum consecutive dry days), as found in the zonal-mean of comprehensive models. This simulated thermodynamically induced intensification of dry spells in the tropics arises from the decreased contrast between sea surface temperature and surface air temperature with warming. The simulated increase in heavy daily rainfall (e.g., the 99.9th percentile of the daily precipitation distribution) at all latitudes differs modestly from a previous theory that assumes moist adiabatic stratification and increased warming aloft slightly damps the simulated increase, as the theory suggests."
3185	Definitive	"Riverbank erosion coupled with recurrent flooding has been a persistent problem in large parts of the Eastern India. Published data on bank erosion of the Ganga River in West Bengal suggests an annual average of 8 sq. km. land-loss during 1969-1999 and that potentially affected lives of nearly a million people and destroyed various human establishments. In this study, we aim to constrain the spatiotemporal change in the path of the Ganga River and its impact of on sediment reworking in the plains area. For this, we used LANDSAT imagery from the year 1987 to 2019.  Our analysis is based on a MATLAB-based toolbox called RivMAP. We show that the mean reach-averaged migration rates of the Ganga River vary from 200-600m/yr. Over the last three decades, the Malda district suffered a land-loss of ~140 km2, yielding an average annual loss of 4.5 km2. First order mass estimate suggests ~30 Mt/yr sediment yield from the Ganga riverbank in Malda, which is ~8ÔÄ≠15% of the total annual sediment load of the large Ganga River expected in Farakka Barrage. In the end, this study highlights the role of climate on river migration and bank erosion."
8128	Evidential	"Organism-level bioenergetics models (OBMs) are an emerging tool for predicting consequences of climate change on organism growth in ecological systems. Global changes in ocean and atmospheric temperature may affect organisms that experience both environments, such as those living in intertidal systems. The acorn barnacle, Balanus glandula, is prevalent throughout the intertidal zone in the Eastern Pacific, and laboratory experiments demonstrate that feeding rates and metabolic costs are sensitive to temperature. We ask, based on these thermal responses, do aerial and aquatic warming decrease B. glandula growth in a field environment because of increased costs and reduced feeding? We measure environmental conditions (aerial and aquatic temperature) at three intertidal heights over two 6-month intervals and compare growth estimates based on an OBM to observed growth. Initial work indicates that growth is less sensitive to elevation than predicted by lab-based physiological rates alone, so we estimate an elevation-dependent compensation factor (Z) when fitting the model to all three elevations and the two intervals. This full model predicts that, in this environment, aquatic warming will counteract increased costs of aerial warming, by virtue of increased feeding at warmer temperatures. This work advances OBMs by combining the effects of multiple decoupled thermal responses (e.g. feeding, respiration) in multiple contexts (aerial, aquatic), drawing on established model selection and “divide and conquer” techniques, and identifying sources of uncertainty in the model. This work indicates that future intertidal OBMs may benefit from an improved characterization of feeding behavior, including empirical estimates of elevation-dependent feeding compensation."
6325	Evidential	"The Rodderberg Volcanic Complex (RVC) is well-known for the long and probably continuous climate record archived in its crater basin, which lasts for several glacial-interglacial cycles. However, a detailed chronological framework is still lacking. Here, we perform high-resolution luminescence dating on a 72.8 m-long sediment core with the optically stimulated luminescence (OSL) signal from fine-grained (4‚Äì11 ¬µm) quartz and three kinds of post-infrared infrared (pIRIR) stimulated luminescence signals from fine-grained polymineral fractions. Quartz OSL ages align well with pIRIR ages for the last 50 ka, but they underestimate in relation to pIRIR ages for ages beyond 50 ka. The three pIRIR signals, including the pIRIR signal at 225 ¬∞C (pIRIR225), the pulsed pIRIR signal at 150 ¬∞C (pulsed pIRIR150) and the multi-elevated-temperature pIRIR at 250 ¬∞C (MET-pIRIR250), yield consistent ages up to ca. 250 ka at a sediment depth of 37.5 m. Below that depth, dating limits of the protocols are exceeded. Nevertheless, our results indicate that sediments below 37.5 m predate Marine Isotope Stage (MIS) 7. Altogether, obtained ages reveal continuous dust accumulation during MIS 7 and MIS 6. One erosional event happened at the end of the Eemian (MIS 5e), which eroded the Eemian soil. The sedimentation rate during the Weichselian glacial period is tenfold lower compared to the sedimentation rate observed during MIS 7‚Äì6. This low sedimentation rate likely arises from the cessation of slope-wash effects and the occurrence of various erosional events alternating with dust deposition. A notably high sedimentation rate is observed at the transition from MIS 6 to Eemian, marked by the deposition of a 6 m-thick loess layer between 132 and 129 ka. This high sedimentation rate could be attributed to intensified slope-wash and solifluction processes resulting from the thawing of permafrost.  Alternatively, it might be a signature of an abrupt cold pulse such as Heinrich event 11."
